CODUFMUN,COMPETEN,SUICIDE,POP_EST,RATE,SERV_ESP_NEFROLOGY,CONSELHO_OPTICIAN,SGRUPHAB_ORTHOPEDICS,CONSELHO_DENTIST,TP_UNID_PSYCOSOCIAL_CENTER,SERV_ESP_RARE_DISEASES,CONSELHO_MEDICAL_REGISTRATION_MAIS_MEDICOS,SGRUPHAB_CHRONIC_DISEASES,TP_UNID_MOBILE_HEATH_CARE,SGRUPHAB_NUTRITION_GASTROLOGY,SGRUPHAB_INTERMEDIARY_CARE,TIPO_EQP_FAMILY_HEALTH,SGRUPHAB_TEACHING,TP_UNID_RIVER_MOBILE_UNIT,SERV_ESP_HEALTH_SURVEILLANCE,SERV_ESP_PRISON,SGRUPHAB_PHYSICAL_REHABILITATION,TIPEQUIP_OTHER,CONSELHO_STATISTICIAN,TP_UNID_PRIMARY_HEALTHCARE_UNIT,TIPEQUIP_GRAPHIC_METHODS,SERV_ESP_HEMOTHERAPY,TP_UNID_HEALTH_DEPARTMENT,SERV_ESP_ADOLESCENT_HEALTH,TP_UNID_SUPPLY_CENTER,SERV_ESP_TEACHING,TP_UNID_CLINIC,SERV_ESP_URGENCY,SGRUPHAB_WORKER_HEALTHCARE,CONSELHO_NUTRITIONIST,SGRUPHAB_TRAUMA,TP_UNID_TELEHEALTH,TP_UNID_GENERAL_HOSPITAL,SERV_ESP_ORTHOPEDICS,SERV_ESP_SMOKING,TIPO_EQP_ORAL_HEALTH,SGRUPHAB_GERIATRIC,TP_UNID_HOME_CARE,CONSELHO_PSYCHOLOGIST,PROF_SUS,TP_UNID_EMERGENCY_CARE,CONSELHO_PHYSIOTHERAPIST_OCCUPATIONAL_THERAPIST,SERV_ESP_COMMITTIEES,SERV_ESP_NUTRITION/GASTROLOGY,CONSELHO_CHEMIST,TIPO_EQP_MENTAL_HEALTH,SGRUPHAB_PHYLANTHROPY,TIPO_EQP_PRIMARY_CARE,SERV_ESP_ONCOLOGY,SGRUPHAB_MENTAL_HEALTH,SERV_ESP_CARDIOVASCULAR,TP_UNID_URGENCY_CARE_REGULATOR,CONSELHO_SOCIAL_ASSISTANT,SGRUPHAB_NEPHROLOGY,TP_UNID_MIXED_EMERGENCY_UNIT,CONSELHO_NURSING,CONSELHO_PHYSICIST,TP_UNID_MULTISPECIALIST_CLINIC,TP_UNID_EDUCATIONAL_CENTER,TP_UNID_SPECIALIZED_EMERGENCY_ROOM,SGRUPHAB_NEUROLOGY,TP_UNID_CHILDBIRTH_CENTER,TP_UNID_MULTISPECIALIST_PRIMARY_HEALTHCARE,CONSELHO_PHYSICAL_EDUCATION,TP_UNID_DIAGNOSTIC_CENTER,SERV_ESP_TELEHEALTH,SGRUPHAB_HIV/AIDS,SERV_ESP_REHABILITATION,SGRUPHAB_GENETICS,TP_UNID_FAMILY_CENTER,SERV_ESP_ORAL_HEALTH,CONSELHO_RADIOLOGIST,SGRUPHAB_OBESITY,TP_UNID_MOBILE_URGENCY_CARE,TP_UNID_HEALTHCARE_REGULATOR,IND_SUS,TIPO_EQP_HEALTH_AGENTS,TP_UNID_HOME_CARE_UNIT,CONSELHO_PEDAGOGY,SGRUPHAB_TRANSPLANT,TP_UNID_NOTIFICATION_CENTER,SERV_ESP_HEARING_HEALTH,CONSELHO_SPEECH_THERAPIST,SGRUPHAB_ODONTOLOGY,TP_UNID_SPECIALIZED_HOSPITAL,TIPEQUIP_DENTISTRY,VINC_SUS,Leitos,SERV_ESP_OPHTHALMOLOGY,SERV_ESP_INDIGENOUS_HEALTH,TIPO_EQP_INDIGENOUS_HEALTH,SERV_ESP_DIAGNOSIS,SGRUPHAB_URGENCY,TIPEQUIP_LIFE_MAINTAINING,SGRUPHAB_AURICULAR,TP_UNID_IMMUNIZATION_CENTER,SERV_ESP_IMUNIZATION,TP_UNID_CENTRAL_LABORATORY,CONSELHO_RADIOLOGY_TECHNICIAN,TIPEQUIP_INFRASTRUCTURE,TP_UNID_SHORTSTAY_HOSPITAL,SGRUPHAB_TRANSEXUAL_CHANGE,SGRUPHAB_OPHTHALMOLOGY,TIPEQUIP_OPTICAL_METHODS,SERV_ESP_BASIC_HEALTH,TP_UNID_ACCESS_CENTER,SGRUPHAB_ICU,CNES,SERV_ESP_REPRODUCTIVE_HEALTH,SERV_ESP_ICU,SGRUPHAB_CARDIOVASCULAR,SERV_ESP_SEXUAL_VIOLENCE,TP_UNID_INDIGENOUS_CENTER,TP_UNID_PHARMACY,SERV_ESP_PNEUMOLOGY,CONSELHO_PHYSICIAN,TIPEQUIP_IMAGE_DIAGNOSIS,TP_UNID_HEALTH_INSURANCE,CONSELHO_BIOLOGIST,TP_UNID_HEALTHCARE_SURVEILLANCE,SERV_ESP_SURGERY,SGRUPHAB_SURGERY,TP_UNID_GENERAL_EMERGENCY_ROOM,SERV_ESP_NEUROLOGY,SERV_ESP_PHYSICALTHERAPY,CONSELHO_PHARMACIST,SGRUPHAB_PREGNANCY,CONSELHO_BIOMEDICINE,CONSELHO_VETERINARIAN,TP_UNID_PREVENTION_CENTER,SERV_ESP_PHARMACY,SERV_ESP_STI/HIV/AIDS,SERV_ESP_PREGNANCY,TP_UNID_PUBLIC_HEALTH_LABORATORY,SERV_ESP_TRANSSEXUAL,SERV_ESP_ENDOCRINOLOGY,NULEITOS,TP_UNID_HEMOTHERAPY_CENTER,SGRUPHAB_ONCOLOGY,SERV_ESP_MENTAL_HEALTH,SERV_ESP_TUBERCULOSIS/HANSENS_DISEASES,TIPO_EQP_PRISION_HEALTH,SERV_ESP_TRANSPLANT,TP_UNID_SPECIALIST_UNIT,TIPEQUIP_AUDIOLOGY,AMB_SUS,SERV_ESP_OBESITY,HOSP_SUS,RATE_SUICIDE
210005,200901,1,113783,0.8788659114278935,0,0,0,22,1,0,0,0,0,0,0,8,0,0,3,0,0,3,0,21,3,0,0,0,0,0,38,5,0,10,0,0,10,0,1,5,0,0,3,515,0,7,0,1,10,0,0,0,0,1,0,0,7,0,0,159,0,1,0,0,0,0,2,0,8,0,0,0,0,0,1,1,0,0,0,20,9,0,0,0,0,0,4,0,0,16,46,720,0,0,0,23,0,27,0,0,0,0,6,38,0,0,0,12,16,0,0,357556043,0,0,0,0,0,0,0,260,32,0,0,2,0,0,0,0,1,47,0,3,1,0,0,0,11,0,0,0,0,0,0,1,5,0,0,6,0,26,0,4,0
210005,200905,1,113783,0.8788659114278935,0,0,0,16,1,0,0,0,0,0,0,8,0,0,3,0,0,4,0,20,2,2,0,0,0,0,37,5,0,8,0,0,8,1,1,5,0,0,4,412,0,7,0,1,7,0,0,0,0,1,0,0,8,0,0,120,0,1,0,0,0,0,2,0,13,0,0,0,0,0,1,1,0,0,0,22,9,0,0,0,0,0,5,0,0,17,48,532,1,0,0,31,0,21,0,0,0,0,6,36,0,0,0,11,16,0,0,363629231,0,0,0,0,0,0,0,211,26,0,0,2,0,0,0,0,1,46,0,2,1,0,0,0,11,0,0,0,0,0,0,1,5,0,0,7,0,30,0,3,0
210005,200911,2,113783,1.757731822855787,0,0,0,16,1,0,0,0,0,0,0,10,0,0,3,0,0,5,0,22,3,2,1,0,0,0,38,4,0,5,0,0,5,1,1,5,0,0,3,365,0,4,0,3,3,0,0,0,0,1,0,0,5,0,0,116,0,1,0,0,0,0,2,0,13,0,0,0,0,0,4,1,0,0,0,26,8,0,0,0,0,1,5,0,0,23,47,432,2,0,0,30,0,18,0,0,0,0,6,35,0,0,0,15,18,0,0,385288660,0,0,0,0,0,0,0,192,25,0,0,2,0,0,0,0,1,41,0,0,1,0,1,0,14,0,0,0,0,0,0,1,5,0,0,8,0,35,0,1,0
210005,201006,1,113783,0.8788659114278935,0,0,0,15,1,0,0,0,0,0,0,10,0,0,3,0,0,6,0,21,3,2,1,0,0,0,32,1,0,5,0,0,5,2,1,5,0,0,3,328,0,4,0,3,3,0,0,0,0,1,0,0,4,0,0,118,0,1,0,0,0,0,1,0,9,0,0,0,0,0,4,0,0,0,0,21,7,0,0,0,0,1,5,0,0,23,39,428,3,0,0,26,0,16,0,0,0,0,9,32,0,0,0,17,17,0,0,341995114,0,0,0,0,0,0,0,163,23,0,1,2,0,0,0,0,2,32,0,0,1,0,0,0,13,0,0,0,0,0,0,1,5,0,0,8,0,34,0,1,0
210005,201103,1,113783,0.8788659114278935,0,0,0,17,1,0,0,0,0,0,0,10,0,0,4,0,0,8,0,21,3,2,1,0,0,0,32,0,0,5,0,0,5,2,2,5,0,0,3,339,0,7,0,3,3,0,0,0,0,1,0,0,5,0,0,120,0,1,0,0,0,0,1,0,10,0,0,0,0,0,4,0,0,0,0,21,7,0,0,0,0,1,5,0,0,23,39,428,3,0,0,26,0,16,0,0,0,0,9,32,0,0,0,17,16,0,0,355184605,0,0,0,0,0,0,0,166,23,0,1,2,0,0,0,0,4,33,0,0,1,0,0,0,13,0,0,0,0,0,0,1,12,0,0,9,0,34,0,1,0
210005,201105,1,113783,0.8788659114278935,0,0,0,18,1,0,0,0,0,0,0,10,0,0,4,0,0,10,0,21,3,2,1,0,0,0,28,0,0,5,0,0,5,2,2,5,0,0,4,309,0,8,0,3,3,0,0,0,0,1,0,0,5,0,0,99,0,1,0,0,0,0,1,0,11,0,0,0,0,0,4,0,0,0,0,21,7,0,0,0,0,1,4,0,0,23,39,428,3,0,0,26,0,16,0,0,0,0,9,32,0,0,0,17,16,0,0,341679285,0,0,0,0,0,0,0,156,23,0,1,2,0,0,0,0,5,34,0,0,1,0,0,0,13,0,0,0,0,0,0,1,12,0,0,9,0,34,0,1,0
210005,201110,1,113783,0.8788659114278935,0,0,0,19,1,0,0,0,0,0,0,10,0,0,4,0,0,10,0,21,3,2,1,0,0,0,27,0,0,6,0,0,5,2,2,5,0,0,4,427,0,10,0,3,3,0,0,0,0,1,0,0,6,0,0,198,0,1,0,0,0,0,1,0,11,0,0,0,0,0,4,0,0,0,0,21,7,0,0,0,0,1,3,0,0,23,38,428,3,0,0,26,0,16,0,0,0,0,19,31,0,0,0,17,16,0,0,334451751,0,0,0,0,0,0,0,158,23,0,2,1,0,0,0,0,5,35,0,0,3,0,0,0,13,0,0,0,0,0,0,1,12,0,0,9,0,34,0,1,0
210005,201201,1,113783,0.8788659114278935,0,0,0,19,1,0,0,0,0,0,0,11,0,0,4,0,0,6,0,21,3,2,1,0,0,0,26,2,0,6,0,0,5,2,2,5,0,0,4,449,0,11,0,3,3,0,0,0,0,1,0,0,7,0,0,219,0,1,0,0,0,0,1,1,11,0,0,0,0,0,4,0,0,1,0,21,7,0,0,0,0,1,2,0,0,23,38,428,2,0,0,26,0,20,0,0,0,0,19,30,0,0,0,16,17,0,0,335040927,0,0,0,0,0,0,0,158,23,0,2,1,0,0,0,0,5,35,0,0,3,0,0,0,13,0,0,0,0,0,0,1,12,0,0,9,0,35,0,1,0
210005,201206,1,113783,0.8788659114278935,0,0,0,30,1,0,0,0,0,0,0,12,0,0,4,0,0,4,0,21,3,2,1,0,0,0,26,4,0,6,0,0,5,2,2,5,0,0,4,484,0,9,0,3,3,0,0,0,0,1,0,0,9,0,0,243,0,1,0,0,0,0,1,1,10,0,0,0,0,0,4,0,0,4,0,24,7,0,0,0,0,1,2,0,0,23,41,426,2,0,0,26,0,28,0,0,0,0,19,28,0,0,0,16,20,0,0,349368743,0,0,0,0,0,0,0,156,24,0,2,1,0,4,0,0,3,35,0,0,3,0,0,0,14,0,0,0,0,0,0,1,13,0,0,9,0,40,0,2,0
210005,201207,1,113783,0.8788659114278935,0,0,0,30,1,0,0,0,0,0,0,12,0,0,4,0,0,4,0,21,3,2,1,0,0,0,26,3,0,6,0,0,5,2,2,5,0,0,4,486,0,9,0,3,3,0,0,0,0,1,0,0,9,0,0,243,0,1,0,0,0,0,1,1,10,0,0,0,0,0,4,0,0,4,0,24,7,0,0,0,0,1,2,0,0,23,41,426,2,0,0,26,0,28,0,0,0,0,19,28,0,0,0,16,20,0,0,349368743,0,0,0,0,0,0,0,158,24,0,2,1,0,4,0,0,3,35,0,0,3,0,0,0,14,0,0,0,0,0,0,1,13,0,0,9,0,40,0,2,0
